Header_1,Header_2,Header_3,Chicago,Detroit,"Minneapolis-
St. Paul",St. Louis
Number of consumer units (in thousands),Number of consumer units (in thousands),Number of consumer units (in thousands),"3,793","1,862","1,613","1,218"
Consumer unit characteristics:,Income before taxes,Income before taxes,"$79,738","$80,597","$91,832","$69,351"
Consumer unit characteristics:,Income before taxes,Income before taxes,49.0,52.4,51.3,50.4
Consumer unit characteristics:,Average number in consumer unit:,People,2.5,2.5,2.3,2.3
Consumer unit characteristics:,Children under 18,Children under 18,.6,.6,.5,.6
Consumer unit characteristics:,Children under 18,Adults 65 and older,.3,.3,.3,.4
Consumer unit characteristics:,Children under 18,Earners,1.4,1.3,1.5,1.3
Consumer unit characteristics:,Children under 18,Vehicles,1.7,2.0,2.6,2.0
Consumer unit characteristics:,Percent homeowner,Percent homeowner,61,66,68,73
Food,Food at home,Cereals and bakery products,556,557,592,524
Food,Food at home,"Meats, poultry, fish, and eggs",947,"1,021",941,914
Food,Food at home,Dairy products,458,420,459,408
Food,Food at home,Fruits and vegetables,967,790,966,800
Food,Food at home,Other food at home,"1,562","1,422","1,680","1,591"
Food,Food away from home,Food away from home,"3,618","3,482","3,879","3,362"
Food,Alcoholic beverages,Alcoholic beverages,492,560,863,655
Housing,Shelter,Owned dwellings,"8,522","5,750","9,205","6,303"
Housing,Shelter,Rented dwellings,"4,359","3,334","4,499","2,338"
Housing,Shelter,Other lodging,856,935,"1,486",615
Housing,"Utilities, fuels, and public services","Utilities, fuels, and public services","3,830","4,203","3,719","4,165"
Housing,Household operations,Household operations,"1,378","1,525","1,617","1,458"
Housing,Housekeeping supplies,Housekeeping supplies,713,713,775,813
Housing,Household furnishings and equipment,Household furnishings and equipment,"1,986","1,632","2,643","2,632"
Apparel and services,Apparel and services,Apparel and services,"2,162","2,160","1,956","1,573"
Transportation,Vehicle purchases (net outlay),Vehicle purchases (net outlay),"3,245","2,392","5,499","3,633"
Transportation,Gasoline and motor oil,Gasoline and motor oil,"1,956","2,142","2,225","2,137"
Transportation,Other vehicle expenses,Other vehicle expenses,"2,829","4,467","3,245","2,897"
Transportation,Public and other transportation,Public and other transportation,893,776,962,661
Healthcare,Healthcare,Healthcare,"4,758","4,801","6,463","4,954"
Entertainment,Entertainment,Entertainment,"3,468","3,517","4,627","3,029"
Personal care products and services,Personal care products and services,Personal care products and services,755,905,"1,106",918
Reading,Reading,Reading,115,109,164,186
Education,Education,Education,"1,578","1,732","2,318",787
Tobacco products and smoking supplies,Tobacco products and smoking supplies,Tobacco products and smoking supplies,309,530,402,395
Miscellaneous,Miscellaneous,Miscellaneous,788,955,"1,064","1,362"
Cash contributions,Cash contributions,Cash contributions,"1,452","1,494","4,991","1,917"
Life and other personal insurance,Life and other personal insurance,Life and other personal insurance,346,552,529,340
Personal insurance and pensions,Personal insurance and pensions,Pensions and Social Security,"6,644","6,774","8,554","6,406"
