series_id	seasonal	category_code	subcategory_code	item_code	demographics_code	characteristics_code	process_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
CXU080110LB0101M              	U	EXPEND	FOODTOTL	080110	LB01	01	M	Eggs by Income Quintiles: All Consumer Units	          	1984	A01	2016	A01
CXU080110LB0102M              	U	EXPEND	FOODTOTL	080110	LB01	02	M	Eggs by Income Quintiles: Lowest 20 percent income quintile	          	1984	A01	2016	A01
CXU080110LB0103M              	U	EXPEND	FOODTOTL	080110	LB01	03	M	Eggs by Income Quintiles: Second 20 percent income quintile	          	1984	A01	2016	A01
CXU080110LB0104M              	U	EXPEND	FOODTOTL	080110	LB01	04	M	Eggs by Income Quintiles: Third 20 percent income quintile	          	1984	A01	2016	A01
CXU080110LB0105M              	U	EXPEND	FOODTOTL	080110	LB01	05	M	Eggs by Income Quintiles: Fourth 20 percent income quintile	          	1984	A01	2016	A01
CXU080110LB0106M              	U	EXPEND	FOODTOTL	080110	LB01	06	M	Eggs by Income Quintiles: Highest 20 percent income quintile	          	1984	A01	2016	A01
CXU080110LB01A1M              	U	EXPEND	FOODTOTL	080110	LB01	A1	M	Eggs by Income Quintiles: Total complete income reporters	          	1984	A01	2003	A01
CXU080110LB01A2M              	U	EXPEND	FOODTOTL	080110	LB01	A2	M	Eggs by Income Quintiles: Incomplete income reports	          	1984	A01	2003	A01
CXU080110LB0201M              	U	EXPEND	FOODTOTL	080110	LB02	01	M	Eggs by Income Range: All Consumer Units	          	1984	A01	2016	A01
CXU080110LB0202M              	U	EXPEND	FOODTOTL	080110	LB02	02	M	Eggs by Income Range: Before tax income of less than $5,000	          	1984	A01	2015	A01
CXU080110LB0203M              	U	EXPEND	FOODTOTL	080110	LB02	03	M	Eggs by Income Range: $5,000 to $9,999 before tax income	          	1984	A01	2015	A01
CXU080110LB0204M              	U	EXPEND	FOODTOTL	080110	LB02	04	M	Eggs by Income Range: $10,000 to $14,999 before tax income	          	1984	A01	2015	A01
CXU080110LB0205M              	U	EXPEND	FOODTOTL	080110	LB02	05	M	Eggs by Income Range: $15,000 to $19,999 before tax income	          	1984	A01	2015	A01
CXU080110LB0206M              	U	EXPEND	FOODTOTL	080110	LB02	06	M	Eggs by Income Range: $20,000 to $29,999 before tax income	          	1984	A01	2015	A01
CXU080110LB0207M              	U	EXPEND	FOODTOTL	080110	LB02	07	M	Eggs by Income Range: $30,000 to $39,999 before tax income	          	1984	A01	2016	A01
CXU080110LB0208M              	U	EXPEND	FOODTOTL	080110	LB02	08	M	Eggs by Income Range: $40,000 to $49,999 before tax income	          	1984	A01	2016	A01
